is_esl,ENL,ESL,Novice,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5
1,1,1,,Mubarrat Wassey,IIUM A,11,418,83.6,87,82,86,81,82
1,1,1,,Dan Lahav,Tel Aviv AD,13,418,83.6,83,83,83,85,84
0,3,,,Teck Wei Tan,Oxford C,12,417,83.4,83,84,84,83,83
0,3,,,Evan Lynyak,Yale A,10,417,83.4,84,82,83,83,85
0,5,,,Toby Tricks,Oxford B,13,416,83.2,83,83,84,83,83
0,6,,,Tommy Peto,Oxford B,13,415,83,82,83,84,82,84
0,7,,,Mifzal Mohammed,UT MARA A,11,413,82.6,82,82,79,84,86
1,7,3,,Ameera Natasha Moore,IIUM A,11,413,82.6,85,83,84,81,80
1,9,4,,Ayal Hayut man,Tel Aviv AD,13,411,82.2,81,81,81,83,85
0,9,,,Bethany Garry,GUU A,12,411,82.2,84,78,80,85,84
0,9,,,Marina Tan,Yale TT,10,411,82.2,81,83,83,85,79
0,12,,,Camara Hudson,Vermont A,14,410,82,81,82,83,84,80
0,12,,,Darion Hotan,KCL A,12,410,82,80,83,83,84,80
0,12,,,Owen Mooney,GUU A,12,410,82,84,78,79,84,85
0,15,,,Debi Ogunrinde,Oxford C,12,409,81.8,83,82,82,82,80
0,15,,,Ryan Tarte,Vermont A,14,409,81.8,80,81,84,82,82
0,15,,,Joe Roussos,LSE D,11,409,81.8,79,82,82,83,83
0,18,,,David __Slater,Stanford B,9,408,81.6,80,82,82,84,80
1,18,5,,Gigi Gil,Leiden A,10,408,81.6,83,83,80,81,81
0,18,,,Aodhan Peelo,UCD Law A,9,408,81.6,83,84,82,82,77
1,18,5,,Floris Holstege,Leiden C,10,408,81.6,81,85,80,81,81
0,18,,,Elana Leone,Stanford B,9,408,81.6,81,83,81,83,80
0,23,,,Bailey Reid,KCL A,12,407,81.4,80,83,81,83,80
0,23,,,Nishith Hegde,Edinburgh HD,10,407,81.4,79,84,82,83,79
0,23,,,Alexandra Sundarsingh,Hart House A,11,407,81.4,79,84,81,82,81
0,23,,,Jasmine Abdullah,UT MARA A,11,407,81.4,80,82,79,82,84
0,23,,,Raffy Marshall,Oxford A,9,407,81.4,81,79,82,85,80
0,23,,,Christopher Taylor,Yale TT,10,407,81.4,81,82,82,83,79
0,23,,,Sophie Large,Oxford A,9,407,81.4,84,77,83,84,79
0,30,,,Zoe Seaman-Grant,Bates A,11,406,81.2,78,83,82,82,81
1,30,7,,Emma Lucas,Leiden A,10,406,81.2,81,81,80,82,82
0,32,,,Brynne Guthrie,LSE A,9,405,81,86,82,78,82,77
1,32,8,,Roel Becker,Leiden B,9,405,81,83,81,84,79,78
1,32,8,,Lisa Schallenberg,Leiden C,10,405,81,82,85,80,79,79
0,32,,,Kez Exley,Durham A,10,405,81,82,84,79,80,80
0,36,,,Harry Elliott,Stanford A,10,404,80.8,79,79,84,81,81
0,36,,,Alex Wu,Harvard HW,11,404,80.8,78,81,79,83,83
0,36,,,Archie Hall,Harvard HW,11,404,80.8,79,80,79,83,83
0,36,,,Gillis Holgersson,St Andrews PG,9,404,80.8,80,79,82,83,80
0,36,,,Zhen Huang,Yale B,10,404,80.8,81,81,80,82,80
0,41,,,Henry Zhang,Yale A,10,403,80.6,83,79,81,81,79
1,41,10,,Devin Van den berg,Leiden B,9,403,80.6,82,79,85,80,77
0,41,,,Bobbi Leet,Stanford A,10,403,80.6,81,80,81,81,80
0,41,,,Hannah Tyndall,LSE A,9,403,80.6,85,80,76,83,79
0,45,,,Nadhirah Daud,Edinburgh HD,10,402,80.4,80,83,80,82,77
0,45,,,Rory Flynn,Durham A,10,402,80.4,82,84,79,78,79
0,45,,,Justin Katz,Yale B,10,402,80.4,81,80,80,80,81
0,45,,,Jure Hederih,Oxford HC,10,402,80.4,81,81,78,80,82
0,49,,,Aislin Flynn,Hart House A,11,401,80.2,79,83,78,81,80
0,49,,,Louis Collier,Oxford HC,10,401,80.2,79,82,80,80,80
0,51,,,Benjamin Anderson,Stanford D,8,400,80,82,82,82,79,75
0,51,,,Matt Davis,Bates A,11,400,80,77,81,80,80,82
1,53,11,,Lucia Arce,Sheffield A,8,398,79.6,76,78,82,84,78
0,53,,,Sam Arnesen,Princeton WA,7,398,79.6,81,84,76,76,81
0,53,,,Matthieu Ostrander,Alaska OS,8,398,79.6,83,80,72,81,82
1,53,11,,Noam Dahan,Tel Aviv NT,11,398,79.6,79,78,80,79,82
0,53,,,Jacob Shercliffe,Alaska OS,8,398,79.6,81,82,76,80,79
0,53,,,Lloyd Lyall,Stanford D,8,398,79.6,80,82,83,78,75
0,59,,,Jonah Goldberg,Brown GS,8,397,79.4,78,84,77,80,78
0,59,,,Parnian (Penny) Sadeghi,St Andrews PG,9,397,79.4,80,77,80,81,79
0,59,,,Richard Ngo,Oxford D,8,397,79.4,78,82,83,79,75
0,62,,,Cian Luddy,UCC Philosoph A,7,396,79.2,84,78,80,79,75
1,62,13,,Danil Kustin,New Economic School,9,396,79.2,77,79,82,78,80
0,62,,,Adam Stairs,UCD Law A,9,396,79.2,79,83,80,79,75
1,62,13,,Ivan Velentey,New Economic School,9,396,79.2,78,80,81,77,80
0,62,,,Sebastian Rees,Oxford D,8,396,79.2,79,82,82,78,75
1,62,13,,Tom Manor,Tel Aviv NT,11,396,79.2,79,76,80,80,81
1,62,13,,Melda Eren,Munich A,10,396,79.2,77,77,79,81,82
1,69,17,,Đorđe Jovićević,Belgrade A,10,395,79,78,81,77,77,82
0,69,,,Swish/Manu Goswami,Hart House C,9,395,79,78,80,78,79,80
0,69,,,Méabh McMahon,UCC Philosoph A,7,395,79,83,79,80,79,74
0,72,,,Sarah Millman,Hart House C,9,394,78.8,80,79,77,77,81
0,72,,,Sophie Scharlin-Pettee,Vermont B,9,394,78.8,78,81,80,78,77
0,74,,,Tim Squirrell,Edinburgh BS,8,393,78.6,78,80,79,76,80
1,74,18,,Monica Forman,Tel Aviv FS,9,393,78.6,81,78,72,80,82
1,74,18,,Ilija Ivanišević,Belgrade A,10,393,78.6,77,79,77,78,82
0,74,,,Quito Tsui,Stanford C,8,393,78.6,78,77,79,81,78
0,74,,,Elliot Porter,GUU B,7,393,78.6,80,79,76,81,77
0,79,,,Surya Kumaravel,UCL SN,9,392,78.4,76,77,77,80,82
1,79,20,,Stav Singer,Tel Aviv FS,9,392,78.4,82,79,72,79,80
0,79,,,Izzat Arif,UT MARA B,9,392,78.4,78,76,75,80,83
0,79,,,Clara Rupf,LSE D,11,392,78.4,77,77,79,79,80
0,79,,,Lorna Staines,TCD Hist SP,6,392,78.4,82,78,81,79,72
0,79,,,Isabella Olson,Vermont B,9,392,78.4,77,80,79,78,78
0,79,,,Ryan Howson,UWODS A,8,392,78.4,76,81,76,77,82
0,79,,,Tessa Holtzman,Bates HL,7,392,78.4,80,78,80,75,79
0,87,,,Ciara Mitchell,LSE C,7,391,78.2,80,79,78,76,78
1,87,21,,Patrick Cheang,Malaya A,7,391,78.2,76,78,82,78,77
1,87,21,,Raluca Vacaru,UCL RR,6,391,78.2,80,82,76,79,74
0,87,,,Aaron Luke,LSE B,7,391,78.2,79,79,77,81,75
0,87,,,Mattea Roach,Hart House B,10,391,78.2,74,78,79,81,79
0,87,,,Bruce Weaver,Imperial BG,7,391,78.2,79,79,77,78,78
0,87,,,Rebecca Blair,Cornell A,9,391,78.2,79,82,79,75,76
1,94,23,,Ognjen Miladinović,Belgrade B,10,390,78,78,78,73,82,79
0,94,,,Ankur Biswas,Cornell A,9,390,78,79,80,77,77,77
0,94,,,Sinan __Ozbay,Princeton A,7,390,78,79,80,74,78,79
1,94,23,,Radko Nedyalkov,UCL RR,6,390,78,81,80,77,78,74
1,94,23,,Wladislaw Jachtchenko,Munich A,10,390,78,77,75,79,78,81
0,94,,,Hamish Barker,LSE B,7,390,78,80,78,76,80,76
0,100,,,Reca Sarfati,Brown GS,8,389,77.8,77,83,74,77,78
1,100,26,,Hassan Aftab,Lancaster A,7,389,77.8,79,77,74,82,77
0,100,,,Nicole Liu,UCL SN,9,389,77.8,77,76,76,79,81
1,100,26,,Jason Wee,Princeton WA,7,389,77.8,80,81,74,75,79
0,104,,,Maazin Buhari,Edinburgh BS,8,388,77.6,78,77,78,77,78
0,104,,,Ben Levy,Hart House B,10,388,77.6,76,76,77,79,80
0,104,,,Cassandra Cervi,UWODS A,8,388,77.6,75,79,74,78,82
0,104,,,Bharath Srivatsan,Princeton A,7,388,77.6,77,80,74,78,79
0,104,,,Cole Limbach,Bates HL,7,388,77.6,78,80,77,75,78
0,104,,,Sam Erickson,Alaska EE,8,388,77.6,73,81,75,80,79
0,104,,,Elizabeth Lee,Middlebury LM,6,388,77.6,77,80,81,69,81
1,111,28,,Vinodhan Kuppusamy,Malaya A,7,387,77.4,75,79,81,76,76
0,111,,,Brittany Garcia,Cornell B,8,387,77.4,77,77,80,80,73
1,111,28,,Syarif Fakhri,IIUM B,7,387,77.4,79,79,76,77,76
1,111,28,,Sara Abdul Rahim,IIUM B,7,387,77.4,77,80,77,78,75
0,111,,,Madison Brown,Willamette A,8,387,77.4,76,77,79,77,78
0,111,,,Shaheed Brooks,Morehouse B,5,387,77.4,81,78,79,74,75
1,111,28,,Sarah Choong,KCL B,8,387,77.4,77,80,76,79,75
0,111,,,Jainah J,UT MARA B,9,387,77.4,77,76,75,77,82
0,111,,,Aisling Tully,UCD L&H A,7,387,77.4,78,75,81,80,73
0,120,,,Naz Gocek,Stanford C,8,386,77.2,75,76,76,81,78
0,120,,,Madison Immel,Willamette A,8,386,77.2,77,76,78,75,80
0,120,,,Alberto Polimeni,KCL B,8,386,77.2,77,78,77,77,77
0,120,,,Razzaq Fazail,LSE C,7,386,77.2,79,78,77,76,76
0,120,,,Douglas Jack,GUU B,7,386,77.2,78,77,75,79,77
1,125,32,,Anna Akimova,MGIMO AS,9,385,77,73,80,74,78,80
0,125,,,Linda Xu,Sciences Po KL,8,385,77,72,79,77,77,80
0,125,,,Michael Pusic,Columbia PS,6,385,77,75,79,77,77,77
0,125,,,Keith Matier,Morehouse B,5,385,77,80,78,78,76,73
0,125,,,Sarthak __Agrawal,UChicago A,7,385,77,76,77,75,74,83
0,125,,,Jack Kennedy,TCD Hist B,6,385,77,78,79,79,75,74
0,131,,,Kiara Hassan,Sciences Po KL,8,384,76.8,72,78,79,77,78
0,131,,,Eamonn Sweeney,TCD Hist B,6,384,76.8,78,77,78,75,76
1,131,33,,Mikhail Shuganov,MGIMO AS,9,384,76.8,70,82,75,79,78
1,131,33,,Xenia Burghelea,BBU A,7,384,76.8,74,79,78,78,75
0,135,,,Sarah Elton,Alaska EE,8,383,76.6,73,80,74,78,78
0,135,,,Douglas Ottino,USAFA MO,7,383,76.6,79,76,74,77,77
1,135,35,,Janko Djordjevic,Belgrade B,10,383,76.6,78,76,74,78,77
0,135,,,Catherine Prasifka,TCD Hist SP,6,383,76.6,80,76,79,76,72
0,135,,,Duncan __Bowyer,St Andrews DS,8,383,76.6,78,75,78,75,77
0,135,,,Aaron Schaffer-Neitz,Columbia PS,6,383,76.6,76,78,76,76,77
1,135,35,,Vikki Perijainen,Oxford PT,7,383,76.6,76,81,74,76,76
1,135,35,,Susanna Vahtramäe,Lancaster A,7,383,76.6,77,76,74,81,75
0,135,,,Tejaswini Krishnaprasad,Durham TS,6,383,76.6,75,76,77,79,76
1,135,35,,Katharin Tai,Oxford PT,7,383,76.6,75,80,76,75,77
1,135,35,,Matti Bryder,LUND A,5,383,76.6,77,78,77,77,74
0,146,,,Juliette Barnes,UCD L&H A,7,382,76.4,76,75,80,78,73
0,146,,,Sarah McClellan,USAFA MO,7,382,76.4,78,75,75,77,77
0,146,,,Ibrahim Steel,Imperial MI,5,382,76.4,77,77,76,75,77
0,146,,,Abhiroop Lohia,Cornell B,8,382,76.4,75,75,79,78,75
1,146,40,,Jae Ahn,UChicago A,7,382,76.4,74,75,76,75,82
1,151,41,,Anda Prunea,BBU A,7,381,76.2,73,78,80,76,74
0,151,,,Gordon Cheung,Imperial BG,7,381,76.2,77,75,75,79,75
0,153,,,Areeb Sherwani,Sheffield A,8,380,76,75,74,80,76,75
0,153,,,Luke Kosky,Bristol A,5,380,76,75,78,76,77,74
0,153,,,Davon Boyd,Morehouse A,5,380,76,74,75,74,81,76
0,153,,,Mohammad Iqbal Had,UT MARA C,6,380,76,78,75,72,76,79
0,153,,,Kolten Ellis,Rollins College A,7,380,76,77,75,75,76,77
0,153,,,Sam Maybee,St Andrews DS,8,380,76,76,76,76,73,79
0,153,,,Danny Jaffe,Brandeis A,7,380,76,74,76,78,75,77
0,153,,,Mahirah Marzuki,UT MARA C,6,380,76,77,76,74,76,77
0,161,,,Charlotte Massey,Middlebury LM,6,379,75.8,74,78,79,69,79
0,161,,,Tim Luciano,Brandeis A,7,379,75.8,75,76,77,74,77
0,163,,,Joshua Brown,Rollins College A,7,378,75.6,77,74,75,74,78
0,164,,,Ellie Markham,Durham C,5,377,75.4,72,78,76,74,77
0,164,,,Khalil Waddell,Morehouse A,5,377,75.4,76,73,71,79,78
0,166,,,Samantha Johnson- Audini,Durham TS,6,375,75,74,75,75,78,73
0,166,,,Lucy Russell,Bristol A,5,375,75,74,77,75,75,74
1,166,42,,Leonard Muenstermann,Tilbury House A,5,375,75,78,76,74,73,74
0,166,,1,Rachael Mullally,UCD L&H ML,6,375,75,75,74,74,76,76
0,170,,,THOMAS REDGRAVE,Bham A,6,374,74.8,79,77,68,75,75
0,170,,,Hannah Speed,Durham C,5,374,74.8,73,78,76,74,73
0,172,,2,Clare Elwell,TCD Phil EJ,3,373,74.6,77,72,76,74,74
0,172,,,Syed Abbas Shah,Amherst ZS,6,373,74.6,71,76,73,76,77
1,172,43,,Mindy Chen,Imperial MI,5,373,74.6,75,74,75,74,75
0,172,,,Boya Zhang,Cornell C,8,373,74.6,74,75,69,79,76
0,172,,,Rosalie Butcher,Bham A,6,373,74.6,77,79,68,76,73
0,177,,3,Leon Langdon,UCD L&H ML,6,372,74.4,72,74,73,76,77
1,177,44,,Kata Sebök,Vienna SB,7,372,74.4,74,76,79,65,78
0,177,,,Eoghan Finn,NUI Galway Lit & Deb A,6,372,74.4,79,71,70,79,73
0,177,,,Aniroodh Ravikumar,Cornell C,8,372,74.4,74,77,67,78,76
1,177,44,,Olle Reberg,LUND A,5,372,74.4,71,76,75,75,75
0,182,,,Hayley Arlin,Colgate AA,5,371,74.2,74,74,73,73,77
0,182,,,David Zhang,Amherst ZS,6,371,74.2,73,75,73,75,75
1,184,46,,Vinicius Maerschner Bremer,Vienna SB,7,370,74,72,74,78,67,79
1,184,46,,Susanna Ulinski,Vienna A,4,370,74,74,75,78,70,73
1,186,48,,Edvards Rutkis,SSE Riga A,6,368,73.6,74,78,75,66,75
1,187,49,,Agnes Putri,Tilbury House A,5,367,73.4,77,75,72,72,71
0,187,,,Callum McLean,Lincoln's Inn A,6,367,73.4,73,74,72,72,76
0,187,,,Stephen Tawiah,Lincoln's Inn A,6,367,73.4,75,74,71,72,75
1,190,50,,Angela Portocarrero de las Heras,UAM A,5,366,73.2,71,72,75,74,74
1,191,51,,Egger Anicca,Vienna A,4,365,73,72,72,78,70,73
0,192,,,Ceryndipity Schoel,Middlebury AC,4,363,72.6,69,73,77,76,68
0,192,,,Lewis Shanahan,UCC Philosoph MS,5,363,72.6,74,71,76,69,73
0,192,,,Samantha Ball,Inner Temple B,3,363,72.6,75,74,73,69,72
0,192,,,Eleanor Sharrock,Inner Temple A,4,363,72.6,73,70,76,73,71
1,196,52,,Lorelai Avram,Colgate AP,5,362,72.4,72,64,77,78,71
0,196,,4,James Johnston,TCD Phil EJ,3,362,72.4,76,70,73,72,71
0,196,,,George Armstrong,Colgate AA,5,362,72.4,72,73,69,73,75
0,199,,,Caoimhe Meaney,UCC Philosoph MS,5,360,72,74,71,75,69,71
1,199,53,,Thomas Maybach,CAU A,4,360,72,72,72,77,66,73
0,201,,,Francisco Pereira,Porto A,3,359,71.8,76,73,77,65,68
1,201,54,,Renāte Rozentale,SSE Riga A,6,359,71.8,72,75,73,67,72
0,201,,,Ricardo Ferreira,Porto A,3,359,71.8,76,72,77,66,68
1,204,55,,Alex Goldstein,CAU A,4,358,71.6,73,72,77,67,69
0,204,,,Anna Proios,Colgate AP,5,358,71.6,75,66,68,79,70
0,204,,,Kate Muldowney,NUI Galway Lit & Deb A,6,358,71.6,77,65,70,76,70
0,204,,,Joyman Lee,Inner Temple B,3,358,71.6,75,71,73,68,71
1,208,56,,Irene Miguelsanz Villanueva,UAM A,5,357,71.4,70,71,71,74,71
1,209,57,,Lauris Krasovskis,SSE Riga B,4,356,71.2,67,69,73,71,76
0,210,,,Viruben Nandakumar,Nottingham A,4,355,71,73,73,64,75,70
0,211,,,Allyson Stevens,Middlebury AC,4,353,70.6,68,71,76,73,65
0,212,,,Richard Ive,Lincoln's Inn B,4,352,70.4,67,68,70,73,74
0,213,,,Žygimantas Marcinkevičius,SSE Riga B,4,351,70.2,66,69,72,71,73
0,214,,,Chris Whitehead,Queen Mary,2,348,69.6,69,71,72,65,71
1,215,58,,Amro Fadl,Nottingham A,4,346,69.2,72,69,62,72,71
0,215,,,Maya Chilaeva,Lincoln's Inn B,4,346,69.2,63,68,69,73,73
1,217,59,,Vic Zommer (t),Danish Grand Society A,2,344,68.8,74,71,71,64,64
0,218,,,Laith Elzubaidi,Queen Mary,2,341,68.2,67,71,71,62,70
0,219,,,Deanna Loew,Rollins College DK,4,337,67.4,68,69,68,67,65
0,220,,,Katherine Rizzo,Rollins College DK,4,336,67.2,68,68,68,68,64
0,221,,,Artyom Semianchuk,SSE Riga C,0,333,66.6,74,68,68,62,61
1,222,60,,Elizabete Dikmane,Danish Grand Society A,2,332,66.4,71,69,71,59,62
1,223,61,,Aleksandrs Rorbahs,SSE Riga C,0,319,63.8,72,69,68,60,50